REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-998_42,,693016544066,157,,,,,
IR,ALG-998_43,,693016544073,0,,,,,
IR,ALG-998G_34,,693016581566,0,,,,,
IR,ALG-998G_35,,693016581573,30,,,,,
IR,ALG-998G_36,,693016581580,69,,,,,
IR,ALG-998G_37,,693016581597,214,,,,,
IR,ALG-998G_38,,693016581603,317,,,,,
IR,ALG-998G_39,,693016581610,406,,,,,
IR,ALG-998G_40,,693016581627,335,,,,,
IR,ALG-998G_41,,693016581634,282,,,,,
IR,ALG-998G_42,,693016581641,167,,,,,
IR,ALG-998G_43,,693016581658,0,,,,,
IR,ALG-998GW_34,,693016584673,0,,,,,
IR,ALG-998GW_35,,693016584680,0,,,,,
IR,ALG-998GW_36,,693016584697,88,,,,,
IR,ALG-998GW_37,,693016584703,161,,,,,
IR,ALG-998GW_38,,693016584710,305,,,,,
IR,ALG-998GW_39,,693016584727,343,,,,,
IR,ALG-998GW_40,,693016584734,247,,,,,
IR,ALG-998GW_41,,693016584741,167,,,,,
IR,ALG-998GW_42,,693016584758,31,,,,,
IR,ALG-998GW_43,,693016584765,0,,,,,
IR,ALG-998W_35,,693016502349,0,,,,,
IR,ALG-998W_36,,693016502356,39,,,,,
IR,ALG-998W_37,,693016502363,65,,,,,
IR,ALG-998W_38,,693016502370,104,,,,,
IR,ALG-998W_39,,693016502387,96,,,,,
IR,ALG-998W_40,,693016502394,191,,,,,
IR,ALG-998W_41,,693016502400,48,,,,,
IR,ALG-998W_42,,693016502417,0,,,,,
IR,ALG-999_35,,693016299843,96,,,,,
IR,ALG-999_36,,693016299850,0,,,,,
IR,ALG-999_37,,693016299867,190,,,,,
IR,ALG-999_38,,693016299874,882,,,,,
IR,ALG-999_39,,693016299881,1314,,,,,
IR,ALG-999_40,,693016299898,1207,,,,,
IR,ALG-999_41,,693016299904,1744,,,,,
IR,ALG-999_42,,693016299911,2004,,,,,
IR,ALG-999_34,,693016299836,0,,,,,
IR,ALG-999_43,,693016319527,256,,,,,
IR,ALG-999G_34,,693016531783,5,,,,,
IR,ALG-999G_35,,693016531790,26,,,,,
IR,ALG-999G_36,,693016531806,106,,,,,
IR,ALG-999G_37,,693016531813,449,,,,,
IR,ALG-999G_38,,693016531820,616,,,,,
IR,ALG-999G_39,,693016531837,450,,,,,
IR,ALG-999G_40,,693016531844,366,,,,,
IR,ALG-999G_41,,693016531851,334,,,,,
IR,ALG-999G_42,,693016531868,281,,,,,
IR,ALG-999G_43,,693016531875,18,,,,,
IR,ALG-999GW_34,,693016531882,3,,,,,
IR,ALG-999GW_35,,693016531899,0,,,,,
IR,ALG-999GW_36,,693016531905,84,,,,,
IR,ALG-999GW_37,,693016531912,229,,,,,
IR,ALG-999GW_38,,693016531929,308,,,,,
IR,ALG-999GW_39,,693016531936,303,,,,,
IR,ALG-999GW_40,,693016531943,265,,,,,
IR,ALG-999GW_41,,693016531950,201,,,,,
IR,ALG-999GW_42,,693016531967,160,,,,,
IR,ALG-999GW_43,,693016531974,61,,,,,
IR,ALG-999W_35,,693016299928,373,,,,,
IR,ALG-999W_36,,693016299935,1569,,,,,
IR,ALG-999W_37,,693016299942,2697,,,,,
IR,ALG-999W_38,,693016299959,4375,,,,,
IR,ALG-999W_39,,693016299966,4165,,,,,
IR,ALG-999W_40,,693016299973,3478,,,,,
IR,ALG-999W_41,,693016299980,2404,,,,,
IR,ALG-999W_42,,693016299997,2435,,,,,
IR,ALG-999W_34,,693016502325,0,,,,,
IR,ALG-999W_43,,693016319534,276,,,,,
IR,ALG-ALL-011_34,,693016535989,0,,,,,
IR,ALG-ALL-011_35,,693016535996,0,,,,,
IR,ALG-ALL-011_36,,693016536009,0,,,,,
IR,ALG-ALL-011_37,,693016536016,0,,,,,
IR,ALG-ALL-011_38,,693016536023,0,,,,,
IR,ALG-ALL-011_39,,693016536030,0,,,,,
IR,ALG-ALL-011_40,,693016536047,0,,,,,
IR,ALG-ALL-011_41,,693016536054,0,,,,,
IR,ALG-ALL-011_42,,693016536061,0,,,,,
IR,ALG-ALL-011_43,,693016536078,0,,,,,
IR,ALG-ALL-386_35,,693016304479,0,,,,,
IR,ALG-ALL-386_36,,693016304486,0,,,,,
IR,ALG-ALL-386_37,,693016304493,0,,,,,
IR,ALG-ALL-386_38,,693016304509,0,,,,,
IR,ALG-ALL-386_39,,693016304516,0,,,,,
IR,ALG-ALL-386_40,,693016304523,0,,,,,
IR,ALG-ALL-386_41,,693016304530,0,,,,,
IR,ALG-ALL-386_42,,693016304547,0,,,,,
IR,ALG-ALL-413_35,,693016611140,19,,,,,
IR,ALG-ALL-413_36,,693016611157,41,,,,,
IR,ALG-ALL-413_37,,693016611164,75,,,,,
IR,ALG-ALL-413_38,,693016611171,67,,,,,
IR,ALG-ALL-413_39,,693016611188,62,,,,,
IR,ALG-ALL-413_40,,693016611195,31,,,,,
IR,ALG-ALL-413_41,,693016611201,8,,,,,
IR,ALG-ALL-413_42,,693016611218,0,,,,,
IR,ALG-ALL-413_43,,693016611225,0,,,,,
IR,ALG-ALL-431_34,,693016491285,0,,,,,
IR,ALG-ALL-431_35,,693016491292,9,,,,,
IR,ALG-ALL-431_36,,693016491308,20,,,,,
IR,ALG-ALL-431_37,,693016491315,55,,,,,
IR,ALG-ALL-431_38,,693016491322,108,,,,,
IR,ALG-ALL-431_39,,693016491339,94,,,,,
IR,ALG-ALL-431_40,,693016491346,82,,,,,
IR,ALG-ALL-431_41,,693016491353,70,,,,,
IR,ALG-ALL-431_42,,693016491360,40,,,,,
IR,ALG-ALL-431_43,,693016491377,0,,,,,
IR,ALG-ALL-433_34,,693016491780,0,,,,,
IR,ALG-ALL-433_35,,693016491797,0,,,,,
IR,ALG-ALL-433_36,,693016491803,0,,,,,
IR,ALG-ALL-433_37,,693016491810,0,,,,,
IR,ALG-ALL-433_38,,693016491827,0,,,,,
IR,ALG-ALL-433_39,,693016491834,0,,,,,
IR,ALG-ALL-433_40,,693016491841,0,,,,,
IR,ALG-ALL-433_41,,693016491858,0,,,,,
IR,ALG-ALL-433_42,,693016491865,0,,,,,
IR,ALG-ALL-433_43,,693016491872,0,,,,,
IR,ALG-ALL-554_34,,693016571802,0,,,,,
IR,ALG-ALL-554_35,,693016571819,0,,,,,
IR,ALG-ALL-554_36,,693016571826,0,,,,,
IR,ALG-ALL-554_37,,693016571833,0,,,,,
IR,ALG-ALL-554_38,,693016571840,0,,,,,
IR,ALG-ALL-554_39,,693016571857,0,,,,,
IR,ALG-ALL-554_40,,693016571864,0,,,,,
IR,ALG-ALL-554_41,,693016571871,0,,,,,
IR,ALG-ALL-554_42,,693016571888,0,,,,,
IR,ALG-ALL-554_43,,693016571895,0,,,,,
IR,ALG-ALL-571_35,,693016293957,143,,,,,
IR,ALG-ALL-571_36,,693016293964,91,,,,,
IR,ALG-ALL-571_37,,693016293971,238,,,,,
IR,ALG-ALL-571_38,,693016293988,289,,,,,
IR,ALG-ALL-571_39,,693016293995,229,,,,,
IR,ALG-ALL-571_40,,693016294008,128,,,,,
IR,ALG-ALL-571_41,,693016294015,60,,,,,
IR,ALG-ALL-571_42,,693016294022,20,,,,,
IR,ALG-ALL-574_34,,693016548026,0,,,,,
IR,ALG-ALL-574_35,,693016548033,8,,,,,
IR,ALG-ALL-574_36,,693016548040,56,,,,,
IR,ALG-ALL-574_37,,693016548057,85,,,,,
IR,ALG-ALL-574_38,,693016548064,97,,,,,
IR,ALG-ALL-574_39,,693016548071,122,,,,,
IR,ALG-ALL-574_40,,693016548088,34,,,,,
IR,ALG-ALL-574_41,,693016548095,7,,,,,
IR,ALG-ALL-574_42,,693016548101,8,,,,,
IR,ALG-ALL-574_43,,693016548118,0,,,,,
IR,ALG-ALL-576_34,,693016571703,0,,,,,
IR,ALG-ALL-576_35,,693016571710,15,,,,,
IR,ALG-ALL-576_36,,693016571727,36,,,,,
IR,ALG-ALL-576_37,,693016571734,71,,,,,
IR,ALG-ALL-576_38,,693016571741,113,,,,,
IR,ALG-ALL-576_39,,693016571758,112,,,,,
IR,ALG-ALL-576_40,,693016571765,91,,,,,
IR,ALG-ALL-576_41,,693016571772,50,,,,,
IR,ALG-ALL-576_42,,693016571789,21,,,,,
IR,ALG-ALL-576_43,,693016571796,0,,,,,
IR,ALG-ALL-640_35,,693016611249,30,,,,,
IR,ALG-ALL-640_36,,693016611256,63,,,,,
IR,ALG-ALL-640_37,,693016611263,105,,,,,
